status;decimalLongitude;decimalLatitude;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
N;102,7390283;23,64580333;18,24166679;22,5;12,46666718;1011;210;9;88,9151001;593;39;593;39;10,51666641;48,91473007;420,4479675;27,29999924;5,800000191;21,5;22,5;12,46666718
N;102,74623;18,0471945;26,16666603;28,60000038;22,60000038;1871;386;4;98,55400848;1082;24;678;24;10,86666679;54,88215256;257,5878906;34,40000153;14,60000038;19,80000114;28,33333397;22,60000038
N;102,9327569;1,831607882;26,69583321;27,21666718;26,16666603;2196;244;137;20,14005089;679;459;590;594;7,574999809;85,11236572;41,53085709;31,29999924;22,39999962;8,899999619;26,36666679;26,60000038
N;102,9776108;17,36374594;26,42916679;28,89999962;22,81666565;1377;282;4;91,1497345;731;17;502;17;10,50833321;52,80569839;255,2134399;35,09999847;15,19999981;19,89999771;28,26666641;22,81666565
N;103,1713889;-4,526388889;26,08333397;26,43333435;25,78333282;3191;364;165;24,57850456;1059;559;626;876;7,75;88,0681839;28,3110199;30,5;21,70000076;8,799999237;26,04999924;26,23333359
N;103,2528;16,241225;27,125;29,48333359;23,78333282;1158;220;1;86,47348785;581;18;415;18;10,28333378;53,55902481;233,164978;35,90000153;16,70000076;19,20000076;28,03333282;23,78333282
N;103,2721717;13,07985;27,66250038;29,56666756;25,39999962;1251;229;4;71,98720551;581;33;268;101;9,175000191;56,98757172;163,3613739;35,40000153;19,29999924;16,10000229;27,58333206;25,83333206
N;103,3033294;17,68836389;25,73749924;28,45000076;21,71666718;1756;386;4;97,67040253;1014;19;874;29;10,14166641;53,94503021;283,6541138;33,40000153;14,60000038;18,80000114;28,31666565;21,95000076
N;103,31013;2,064606895;26,45000076;26,95000076;25,88333321;2473;282;144;21,30075455;774;468;676;774;7,866666794;86,44689941;43,32749176;31,29999924;22,20000076;9,099998474;25,88333321;26,56666565
N;103,466692;30,49532699;16,87083244;25,10000038;7,633333206;1281;308;13;95,89884186;771;48;742;48;8,008333206;29,12121201;708,3189087;29,89999962;2,400000095;27,5;24,41666603;7,633333206
N;103,5228825;10,63091556;27,65416718;28,78333282;27,03333282;3118;614;15;84,53949738;1631;72;552;139;7,825000286;66,31355286;75,33135986;33,90000153;22,10000038;11,80000114;27,41666603;27,18333435
N;103,62903;1,653056;26,50833321;27;25,96666718;2486;303;146;21,61179352;780;465;615;754;7,566666603;86,97317505;40,55487442;31,10000038;22,39999962;8,700000763;26,20000076;26,64999962
N;103,634441;-1,688879;26,65833282;27,04999924;26,21666718;2551;317;102;33,31173706;873;354;561;846;8;91,95401764;32,74095154;31,20000076;22,5;8,700000763;26,28333282;26,85000038
