status;decimalLongitude;decimalLatitude;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
E;22,424991;40,267571;14,54166698;24,18333435;5,199999809;439;55;22;27,14533997;147;73;75;112;10,8166666;34,44798279;771,7154541;31,70000076;0,300000012;31,40000153;10,26666641;23,55000114
E;22,438011;39,646109;15,27083302;25,25;5,983333588;434;62;19;34,79522324;158;62;62;122;11,70833302;36,13682938;784,3771362;33,20000076;0,800000012;32,40000153;10,90000057;25,25
E;22,440022;36,459903;17,76250076;25,18333244;11,14999962;592;111;3;82,21479797;310;13;13;232;7,191666603;31,9629631;588,5927734;30,10000038;7,599999905;22,5;12,66666698;25,18333244
E;22,491475;40,103666;12,95416641;22,26666641;4,050000191;471;55;25;24,71166992;150;82;84;115;9,158332825;31,91056824;742,8276978;28,89999962;0,200000003;28,69999886;8,966666222;21,63333321
E;22,497597;36,841122;16,45833397;24,28333282;9,566666603;643;116;6;76,07500458;321;23;23;296;8,733333588;35,07362747;613,7620239;30,39999962;5,5;24,89999962;10,98333359;24,28333282
E;22,500275;38,480405;14,24166679;23;6,283333302;674;103;15;54,16752243;277;56;56;262;10,66666603;36,90888214;688,9314575;30,5;1,600000024;28,89999962;7,75;23
E;22,552652;41,128164;14,58749962;24,91666603;4,299999714;431;51;26;20,80537987;134;84;94;100;11,84166622;34,32367325;832,5839233;33,29999924;-1,200000048;34,5;9,533333778;24,13333321
E;22,565537;36,760219;17,69583321;25,33333206;11;582;109;4;79,34628296;299;17;17;274;8,024999619;33,71848679;599,8653564;31;7,199999809;23,79999924;12,4333334;25,33333206
E;22,589027;40,244202;15,10000038;24,54999924;5,849999905;419;56;20;29,92720604;144;66;67;114;10,46666718;34,42982483;761,0638428;31,39999962;1;30,39999962;10,85000038;23,88333321
E;22,590263;41,45055;13,08333302;23,11666679;2,866666555;447;49;27;19,72632027;132;92;107;98;11,38333321;33,87896729;817,6611328;31,10000038;-2,5;33,59999847;8,083333015;4,583333492
E;22,596612;40,003548;14,48750019;23,78333282;5,583333492;434;57;20;30,35025597;150;67;67;116;9,125;31,79442406;740,6818848;30,20000076;1,5;28,70000076;10,51666641;23,78333282
